,Acalypha,Acer,Acorus,Alisma,Ambrosia,Apios,Aralia,Arisaema,Aristolochia,Aronia,Asarum,Asclepias,Athyrium,Aureolaria,Baptisia,Bidens,Boechera,Calopogon,Caltha,Cardamine,Carex,Carpinus,Castanea,Cephalanthus,Chelone,Circaea,Collinsonia,Coptis,Cornus,Croptilon,Cuscuta,Cyperus,Cypripedium,Desmodium,Dryopteris,Erechtites,Erigeron,Eutrochium,Erythronium,Festuca,Fragaria,Galium,Gaylussacia,Geranium,Geum,Hedeoma,Helenium,Hepatica,Juniperus,Kalmia,Lespedeza,Lilium,Liquidambar,Lobelia,Lonicera,Ludwigia,Lupinus,Lysimachia,Maianthemum,Medeola,Melampyrum,Micranthes,Mimulus,Mitella,Monarda,Muhlenbergia,Panicum,Parthenocissus,Pedicularis,Phytolacca,Polygala,Prunus,Pseudognaphalium,Pycnanthemum,Quercus,Rubus,Rudbeckia,Sagittaria,Sambucus,Sanguinaria,Sarracenia,Saururus,Solidago,Staphylea,Smilax,Trillium,Verbascum,Verbena,Veronicastrum,Viburnum
Colden,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
Welikia,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
