,Acalypha,Acer,Achillea,Actaea ,Adiantum,Agalinis,Agrimonia,Agrostis,Ailanthus,Ajuga,Alisma,Allium,Alnus,Ambrosia,Amelanchier,Amphicarpa,Anaphalis,Andropogon,Anemone,Angelica,Antennaria,Anthoxanthum,Apios,Apocynum,Aquilegia,Arabis,Aralia,Arctium,Arisaema,Aristolochia,Aronia,Arrhenatherum,Asarum,Asclepias,Asplenium,Aster,Athyrium,Aureolaria,Avena,Baptisia,Barbarea,Bartonia,Berberis,Betula,Bidens,Botrychium,Brachyelytrum,Brasenia,Brassica,Bromus,Calamagrostis,Calla,Callitriche,Calopogon,Caltha,Calystegia,Campanula,Capsella,Cardamine,Carex,Carpinus,Carya,Castanea,Catalpa,Caulophyllum,Ceanothus,Celastrus,Centaurea,Cephalanthus,Cerastium,Chamaedaphne,Chamaesyce,Chelidonium,Chelone,Chenopodium,Chimaphila,Chrysosplenium,Cichorium,Cicuta,Cinna,Circaea,Cirsium,Clematis,Clethra,Clinopodium,Collinsonia,Comandra,Commelina,Comptonia,Conioselinum,Conium,Conopholis,Convolvulus,Conyza,Coptis,Corallorhiza,Cornus,Corydalis,Corylus,Crataegus,Cryptotaenia,Cunila,Cuscuta,Cynanchum,Cyperus,Cypripedium,Dactylis,Danthonia,Daucus,Decodon,Dennstaedtia,Deschampsia,Desmodium,Dianthus,Dicentra,Dichanthelium,Diervilla,Digitaria,Dioscorea,Dipsacus,Dirca,Drosera,Dryopteris,Dulichium,Echinochloa,Echium,Eleocharis,Elodea,Elymus,Elytrigia,Epifagus,Epigaea,Epilobium,Epipactis,Equisetum,Erectites,Erigeron,Eriocaulon,Erythronium,Euonymus,Eupatorium,Euphorbia,Euthamia,Fagus,Festuca,Fragaria,Fraxinus,Galinsoga,Galium,Gaultheria,Gaylussacia,Gentiana,Gentianopsis,Geranium,Geum,Glyceria,Gnaphalium,Goodyera,Gratiola,Gyrophora,Hamamelis,Hedeoma,Helenium,Helianthemum,Helianthus,Heliopsis,Hemerocallis,Hepatica,Heracleum,Hesperis,Heuchera,Hieracium,Humulus,Huperzia,Hydrocotyle,Hypericum,Hypoxis,Ilex,Impatiens,Iris,Isoetes,Juglans,Juncus,Juniperus,Kalmia,Krigia,Lactuca,Laportea,Lapsana,Larix,Lechea,Leersia,Lemna,Leonurus,Lepidium,Lespedeza,Leucanthemum,Lilium,Linaria,Lindera,Liriodendron,Lobelia,Lolium,Lonicera,Lotus,Ludwigia,Lupinus,Luzula,Lychnis,Lycopodium,Lycopus,Lyonia,Lysimachia,Lythrum,Maianthemum,Malaxis,Malus,Medeola,Melampyrum,Melilotus,Menispermum,Mentha,Micranthes,Microstegium,Mimulus,Mitchella,Mitella,Monarda,Monotropa,Morus,Muhlenbergia,Myosotis,Nemopanthus,Nepeta,Nuphar,Nymphaea,Nymphoides,Nyssa,Oenothera,Onoclea,Origanum,Ornithogalum,Orobanche,Oryzopsis,Osmorhiza,Osmunda,Ostrya,Oxalis,Pachysandra,Panax,Panicum,Paronychia,Parthenocissus,Pedicularis,Peltandra,Penstemon,Penthorum,Phalaris,Phegopteris,Phleum,Phragmites,Phyrma,Physocarpus,Phytolacca,Picea,Picea,Pinus,Plantago,Platanthera,Platanus,Poa,Polygala,Polygonatum,Polygonum,Polypodium,Pontederia,Populus,Potamogeton,Potentilla,Prenanthes,Prunella,Prunus,Pseudognaphalium,Pteridium,Pycnanthemum,Pyrola,Pyrus,Quercus,Ranunculus,Rhamnus,Rhexia,Rhododendron,Rhus,Ribes,Robinia,Rorippa,Rosa,Rotala,Rubus,Rudbeckia,Rumex,Sagina,Sagittaria,Salix,Sambucus,Sanguinaria,Sanicula,Sarracenia,Saururus,Sassafras,Saxifraga,Schizachyrium,Scirpus,Scleranthus,Scutellaria,Sedum,Selaginella,Senecio,Setaria,Silene,Sinapsis,Sisyrinchium,Sium,Smilax,Solanum,Solidago,Sorghastrum,Sparganium,Sphagnum,Sphenopholis,Spiranthes,Spirea,Staphylea,Stellaria,Streptopus,Symphyotrichum,Symplocarpus,Syringa,Taraxacum,Thalictrum,Thelypteris,Thlaspi,Tilia,Toxicodendron,Triadenum,Trientalis,Trifolium,Trillium,Triodanis,Tsuga,Tussilago,Tyhpa,Ulmus,Umbilicaria,Utricularia,Uvularia,Vaccinium,Veratrum,Verbascum,Verbena,Veronica,Veronicastrum,Viburnum,Vicia,Viola,Vitis,Woodsia,Woodwardia,Xanthium,Zizia
Colden,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
BRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
